"dataId","query","queryOriginal"
1,"Mega Show Part 1 - Hongkong Gifts Premium & Household Products Show & International Toys & Gifts Show","Mega Show Part 1 - Hongkong Gifts Premium & Household Products Show & International Toys & Gifts Show香港國際玩具及禮品展暨亞洲贈品及家用品展"
2,"INTERNATIONALE EISENWARENMESSE -  INTERNATIONAL HARDWARE FAIR COLOGNE ","INTERNATIONALE EISENWARENMESSE -  INTERNATIONAL HARDWARE FAIR COLOGNE 科隆五金展"
3,"ISM - International Sweets and Biscuits Fair","ISM - International Sweets and Biscuits Fair"
4,"Kind + Jugend - The Trade Show for Kids  First Years","Kind + Jugend - The Trade Show for Kids  First Years德國科隆國際嬰幼兒服飾用品展"
5,"ORGATEC - Modern Office & Facility","ORGATEC - Modern Office & Facility"
6,"PHOTOKINA- world of imaging","PHOTOKINA- world of imaging"
7,"PMRExpo - Professional Mobile Radio and Command & Control Centres","PMRExpo - Professional Mobile Radio and Command & Control Centres"
8,"Professional MotorSport World Expo","Professional MotorSport World Expo"
9,"ProSweets Cologne ","ProSweets Cologne "
10,"Spoga + Gafa (Herbst/autumn) - The garden trade fair, Cologne","Spoga + Gafa (Herbst/autumn) - The garden trade fair, Cologne德國科隆國際五金園藝展"
11,"Spoga horse (Fruhjahr/Autumn) - International Trade Fair for Equestrian Sports","Spoga horse (Fruhjahr/Autumn) - International Trade Fair for Equestrian Sports"
12,"spoga horse (Fruhjahr/spring) - International Trade Fair for Equestrian Sports","spoga horse (Fruhjahr/spring) - International Trade Fair for Equestrian Sports"
13,"A + A - Safety, Security and Health at Work. International Trade Fair with Congress and Special Events(A+A)","A + A - Safety, Security and Health at Work. International Trade Fair with Congress and Special Events德國杜塞道夫國際工業安全用品及健康用品展(A+A)"
14,"ALUMINIUM - World Trade Fair & Conference","ALUMINIUM - World Trade Fair & Conference"
15,"BEAUTY DUSSELDORF","BEAUTY DUSSELDORF"
16,"Boot-Dusseldorf - International Boat Show","Boot-Dusseldorf - International Boat Show"
17,"CARAVAN SALON DUSSELDORF - The No. 1 Show for motor homes and caravans","CARAVAN SALON DUSSELDORF - The No. 1 Show for motor homes and caravans"
18,"COMPAMED - High tech solutions for medical technology - Internation Trade Fair","COMPAMED - High tech solutions for medical technology - Internation Trade Fair"
19,"DRUPA Dusseldorf","DRUPA Dusseldorf德國杜塞道夫印刷暨紙業展"
20,"ECOC Germany - The European Conference and Exhibiton on Optical Communication","ECOC Germany - The European Conference and Exhibiton on Optical Communication"
21,"EuroMold ","EuroMold 德國法蘭克福模具展"
22,"EuroShop (EuroCIS)","EuroShop (EuroCIS)"
23,"Glasstec - International Trade Fair For Glass Production, Processing, Products","Glasstec - International Trade Fair For Glass Production, Processing, Products德國杜塞道夫國際玻璃暨技術大展"
24,"K Trade Fair","K Trade Fair"
25,"China (Shenyang) International Tea and Tea Ceremony Exhibition()","China (Shenyang) International Tea and Tea Ceremony Exhibition中國(瀋陽)國際茶葉及茶藝博覽會"
26,"China International Oral Equipment Exhibition","China International Oral Equipment Exhibition中國東北國際口腔器材展覽會"
27,"AUTOMATION International Industrial Control and Automation Show for South China","AUTOMATION International Industrial Control and Automation Show for South China華南國際工業自動化展覽會"
28,"China (Shenzhen) International Gifts, Handicrafts, Watches & Houseware Fair (Autumn)// ()","China (Shenzhen) International Gifts, Handicrafts, Watches & Houseware Fair (Autumn)中國國際禮品/工藝品/鐘錶及家庭用品展覽會 (秋季)"
29,"China (Shenzhen) International Gifts, Handicrafts, Watches & Houseware Fair (Spring)()()","China (Shenzhen) International Gifts, Handicrafts, Watches & Houseware Fair (Spring)中國(深圳)國際禮品、工藝品、鐘錶及家庭用品展覽會(春季)"
30,"China (Shenzhen) International Touchscreen Exhibition (Nov.)()()","China (Shenzhen) International Touchscreen Exhibition (Nov.)中國(深圳)國際觸摸屏展覽會(十一月)"
31,"China (Shenzhen) International Touchscreen Exhibition()","China (Shenzhen) International Touchscreen Exhibition中國(深圳)國際觸摸屏展覽會"
32,"China International Digital Signage & Touch Inquiry Technology (Shenzhen) Exhibition()","China International Digital Signage & Touch Inquiry Technology (Shenzhen) Exhibition中國(深圳)國際數字標牌暨觸摸查詢技術展覽會"
33,"China International Public Security Expo (Shenzhen)","China International Public Security Expo (Shenzhen)中國國際社會公共安全博覽會"
34,"China Tex Expo Shenzhen (Autumn)","China Tex Expo Shenzhen (Autumn)中國深圳秋季國際茶葉文化博覽會"
35,"CHTF China Hi-Tech Fair - ELEXCON (FPD EXPO China) - Photo-electronics and FPD Products & Technology Expo()","CHTF China Hi-Tech Fair - ELEXCON (FPD EXPO China) - Photo-electronics and FPD Products & Technology Expo中國國際高新技術成果交易會(深圳高交會)"
36,"CIOE - China International Optoelectronics Exposition","CIOE - China International Optoelectronics Exposition中國國際光電博覽會"
37,"CMEF Spring - China Medical Equipment Fair","CMEF Spring - China Medical Equipment Fair中國深圳國際醫療器械博覽會"
38,"Dowell International Laser Exhibition","Dowell International Laser Exhibition多人行國際激光展覽會"
39,"IIC-China","IIC-China國際集成電路研討會暨展覽會"
40,"International China Electronics Fair (CEF), Shenzhen()","International China Electronics Fair (CEF), Shenzhen中國(深圳)電子展"
41,"International Jewellery Fair","International Jewellery Fair深圳國際珠寶展"
42,"International Printed Circuit & Electronics Assembly Fair","International Printed Circuit & Electronics Assembly Fair國際線路板及電子組裝展覽會"
43,"Intertextile Pavilion Shenzhen - Shenzhen International Trade Fair for Apparel Fabrics and Accessories","Intertextile Pavilion Shenzhen - Shenzhen International Trade Fair for Apparel Fabrics and Accessories深圳國際紡織面料及輔料博覽會"
44,"IOTE - Shenzhen International Internet of Things Technologies and Applications Exhibition","IOTE - Shenzhen International Internet of Things Technologies and Applications Exhibition深圳國際物聯網技術與應用博覽會"
45,"IPC & EMBEDDED EXPO","IPC & EMBEDDED EXPO工業計算機及嵌入式系統展"
46,"SCAF","SCAF深圳動漫節"
47,"Shenzhen Lingerie Fair","Shenzhen Lingerie Fair深圳國際品牌內衣展覽會"
48,"SIMM - Shenzhen International Machinery & Mould Industry Exhibition()","SIMM - Shenzhen International Machinery & Mould Industry Exhibition中國(深圳)國際機械製造工業展覽會"
49,"China Drugstore & Life Care Show ","China Drugstore & Life Care Show 中國藥店及家庭醫療用品展覽會"
50,"Suzhou International Machine & Mould Exhibition","Suzhou International Machine & Mould Exhibition蘇州國際機床及工模具展覽會"
51,"Suzhou PCB Conference Prospecting China Sustainability to the PCB Industry ","Suzhou PCB Conference Prospecting China Sustainability to the PCB Industry 蘇州電路板展覽會"
52,"APCC- Asia Pacific Cancer Conference","APCC- Asia Pacific Cancer Conference亞太抗癌大會"
53,"China International Exhibition For Copper Industry","China International Exhibition For Copper Industry中國國際銅業展覽會"
54,"China North Int'l Bicycle and E-Bike Exhibition","China North Int'l Bicycle and E-Bike Exhibition中國北方國際自行車展"
55,"NA()","NA春季碧海(廊坊)釣具展覽會"
56,"TFTF - China Tianjin International Food Trade Fair","TFTF - China Tianjin International Food Trade Fair中國天津國際食品交易會"
57,"CWME - International Machinery & Electronic Products Exposition","CWME - International Machinery & Electronic Products Exposition中國國際機電產品博覽會"
58,"PHARMCHINA (Spring)()","PHARMCHINA (Spring)全國藥品交易會(春季)"
59,"The National Sugar and Alcoholic Commodities Trade Fair (October)()","The National Sugar and Alcoholic Commodities Trade Fair (October)中國糖酒商品交易會(秋季展)"
