dataId,query
1,Mega Show Part 1 - Hongkong Gifts Premium & Household Products Show & International Toys & Gifts Show
2,INTERNATIONALE EISENWARENMESSE -  INTERNATIONAL HARDWARE FAIR COLOGNE 
3,ISM - International Sweets and Biscuits Fair
4,Kind + Jugend - The Trade Show for Kids  First Years
5,ORGATEC - Modern Office & Facility
6,PHOTOKINA- world of imaging
7,PMRExpo - Professional Mobile Radio and Command & Control Centres
8,Professional MotorSport World Expo
9,ProSweets Cologne 
10,"Spoga + Gafa (Herbst/autumn) - The garden trade fair, Cologne"
11,Spoga horse (Fruhjahr/Autumn) - International Trade Fair for Equestrian Sports
12,spoga horse (Fruhjahr/spring) - International Trade Fair for Equestrian Sports
13,"A + A - Safety, Security and Health at Work. International Trade Fair with Congress and Special Events(A+A)"
14,ALUMINIUM - World Trade Fair & Conference
15,BEAUTY DUSSELDORF
16,Boot-Dusseldorf - International Boat Show
17,CARAVAN SALON DUSSELDORF - The No. 1 Show for motor homes and caravans
18,COMPAMED - High tech solutions for medical technology - Internation Trade Fair
19,DRUPA Dusseldorf
20,ECOC Germany - The European Conference and Exhibiton on Optical Communication
21,EuroMold 
22,EuroShop (EuroCIS)
23,"Glasstec - International Trade Fair For Glass Production, Processing, Products"
24,K Trade Fair
25,China (Shenyang) International Tea and Tea Ceremony Exhibition()
26,China International Oral Equipment Exhibition
27,AUTOMATION International Industrial Control and Automation Show for South China
28,"China (Shenzhen) International Gifts, Handicrafts, Watches & Houseware Fair (Autumn)// ()"
29,"China (Shenzhen) International Gifts, Handicrafts, Watches & Houseware Fair (Spring)()()"
30,China (Shenzhen) International Touchscreen Exhibition (Nov.)()()
31,China (Shenzhen) International Touchscreen Exhibition()
32,China International Digital Signage & Touch Inquiry Technology (Shenzhen) Exhibition()
33,China International Public Security Expo (Shenzhen)
34,China Tex Expo Shenzhen (Autumn)
35,CHTF China Hi-Tech Fair - ELEXCON (FPD EXPO China) - Photo-electronics and FPD Products & Technology Expo()
36,CIOE - China International Optoelectronics Exposition
37,CMEF Spring - China Medical Equipment Fair
38,Dowell International Laser Exhibition
39,IIC-China
40,"International China Electronics Fair (CEF), Shenzhen()"
41,International Jewellery Fair
42,International Printed Circuit & Electronics Assembly Fair
43,Intertextile Pavilion Shenzhen - Shenzhen International Trade Fair for Apparel Fabrics and Accessories
44,IOTE - Shenzhen International Internet of Things Technologies and Applications Exhibition
45,IPC & EMBEDDED EXPO
46,SCAF
47,Shenzhen Lingerie Fair
48,SIMM - Shenzhen International Machinery & Mould Industry Exhibition()
49,China Drugstore & Life Care Show 
50,Suzhou International Machine & Mould Exhibition
51,Suzhou PCB Conference Prospecting China Sustainability to the PCB Industry 
52,APCC- Asia Pacific Cancer Conference
53,China International Exhibition For Copper Industry
54,China North Int'l Bicycle and E-Bike Exhibition
55,NA()
56,TFTF - China Tianjin International Food Trade Fair
57,CWME - International Machinery & Electronic Products Exposition
58,PHARMCHINA (Spring)()
59,The National Sugar and Alcoholic Commodities Trade Fair (October)()
60,Wuhan China International Heating Ventilation and Air Conditioning Heat Pump Energy Saving Technology Exhibition
61,Wuhan food exposition and trade fair
62,PHARMCHINA (Autumn)()
63,China Xiamen International  Food Procurement Fair ()
64,China Xiamen International Buddhist Items & Crafts Fair
65,CMEF Autumn - China Medical Equipment Fair
66,Stone - China Xiamen International Stone Fair
67,PM - Powder Metallurgy World Congress & Exhibition
68,CWIEME China - China West International Equipment Manufacturing Exhibition()
69,West Forum - The Trade & Investment Forum for Cooperation between East & West China
70,Xian China International Exhibition on Heat and Warm Supply �� HVAC Technological Equipments()
71,China Yiwu International Forest Products Fair
72,Chinese Mushroom Days
73,China International Auto Aftermarket and China Auto Accessories Trade Fair()
74,CIFEX/RemaxAsia Expo()
75,Automechanika Shanghai
76,CAS - China Auto Salon (China Shanghai Modification Automobile Exhibition)()
77,"CeMAT ASIA - International Exhibition for Materials Handling, Automation Technology, Transport Systems and Logistics"
78,CHINA BEAUTY EXPO - International Beauty & Cosmetics Expo()
79,China Cycle - China International Bicycle & Motor Fair
80,CHINA PHARM - China International Pharmaceutical Industry Exhibition (Shanghai)()
81,"CHINACOAT - China International Exhibition for Coatings, Printing Inks & Adhesives"
82,"CIHS - China International Hardware Show - Trade Fair for Tools, DIY and Building Hardware, Security Systems, Locks and Fittings"
83,CISMA - China International Sewing Machinery & Accessories Show(CISMA)
84,GDSF - Global Digital Surveillance Forum (Shanghai)()
85,"International China Electronics Fair (CEF), Shanghai()"
86,Intertextile Shanghai Apparel Fabrics - China International Trade Fair for Apparel Fabrics and Accessories(Intertextile)
87,Intertextile Shanghai Home Textiles - Autumn-International Trade Fair for Home Textiles and Accessories 
88,Screen Printing & Digital Printing China
89,SMTCE- China (International) Small Motor Technology Conference & Exhibition()
90,C&R Expo China - Care & Rehabilitation Expo China
91,CIMT - China International Machine Tool Exhibition
92,HOBBY EXPO CHINA (Beijing)()
93,International Cultural & Creative Industry Expo
94,The National Sugar and Alcoholic Commodities Trade Fair (March)()
95,Exhibition of Lijia International machinery - CHENGDU-
96,China (Kunshan) Brand Products Import Expo()
97,"DMP - China Dongguan International Mould and Metalworking Exhibition Plastics, Packaging and Rubber Exhibition"
98,CIPM - China International Pharmaceutical Machinery Exposition()()
99,Agriculture & Food Expo Harbin
100,China International Automotive Aftermarket Industry and Tuning (Guangzhou) Trade Fair
101,CIEF Phase 1 - China Import and Export Fair Phase 1 (Spring)��()
102,CIPS - China International Pet Show - International Pet and Aquarium trade show in Asia
103,GBE-Guangdong International Beauty Expo (Autumn)()
104,GBE-Guangzhou International Beauty Expo (Autumn)��()
105,"Guangzhou International Food & Beverage, Hotel Equipment & Supplies Exhibition()"
106,Guangzhou International Lighting Exhibition
107,"INTERMACH - International Fair of Technology, Machinery, Equipment and Services for the Metal-mechanic and Plastics Industry"
108,FENIBAT - National and International Lead-Acid Bateries Fair
109,BRASIL OFFSHORE - International Offshore Oil & Gas Trade Show and Conference
110,"FIMEC - International Exhibition for the Leather, Chemicals, Components and Machinery for Footwear & Tanneries"
111,OTC Brasil
112,ABTA Expo & Conference
113,Wire South America - International Wire and Cable Fair
114,Salao Duas Rodas
115,"AUTOMEC - HEAVY & COMMERCIAL - International Trade Fair Specialized in Autoparts, Equipments and Services for Vehicles"
116,"AUTOMEC - HEAVY & COMMERCIAL - International Trade Fair Specialized in Autoparts, Equipments and Services for Vehicles "
117,Brazil Welding Show / Corte & Conformacao de Metais - Metal Forming and Fabricating Exhibition
118,CeMAT SOUTH AMERICA - International Trade Fair for Materials Handling and Logistics
119,China Sourcing Fair: Electronics (Sao Paulo) ()
120,China Sourcing Fair: Garments & Textiles  (Sao Paulo) ()
121,China Sourcing Fair: Hardware & Building Materials (Sao Paulo) ()
122,ExpoSec - Specialized Exhibition on Electronical Security Systems
123,FEIPLASTIC - International Plastic Trade Fair
124,"FIEE ELETRICA-International Electrical, Energy and Automation Industry Trade Fair(FIEE)"
125,FISPAL Tecnologia - International Fair of Packaging and Processes for the Food and Beverage Industries
126,"HAIR BRASIL - International Beauty, Hair and Esthetics Fair"
127,"HOSPITALAR - International Fair of Products, Equipment and Services for Hospitals, Health Clinics and Laboratories"
128,House & Gift Fair South America
129,NETCOM - Networking & Telecom Exhibition
130,Tecnotextile Brasil
131,"TUBOTECH - International Trade Fair for Tubes, Fittings and Components"
132,ACCCSA - ACCCSA Convention & Exposition Panama 
133,EXPOCOMER - International Commercial Trade Fair
134,Latin American & Caribbean Tyre Expo
135,FOODEX JAPAN - International Food & Beverage Exhibition
136,GARDEX EXPO
137,Inter BEE-International Broadcast Equipment Exhibition
138,Interpets - International Fair for a Better Life with Pets
139,MOBAC - Machinery of Bakery and Confectionery Show
140,SEMICON Japan - Semiconductor Equipment & Materials Exhibition
141,Tool Japan - International Hardware & Tools Fair
142,FIGS - Fukuoka International Gift Show
143,IJK - International Jewellery Fair
144,CPV International - International Conference on Concentrating Photovoltaic Systems
145,BARRIER FREE - International Rehabilitation & Care for Elderly and Disabled
146,JAPAN PET FAIR
147,MEDIX - Medical Device Development & Manufacturing Expo
148,M-Tech KANSAI()
149,POWTEX OSAKA
150, ELE EXPO - INTERNATIONAL ELECTRONIC COMPONENTS TRADE SHOW
151,Architecture + Construction Materials - Architecture + Construction Materials Exhibition
152,AUTO ID EXPO
153,Baby & Kids Expo
154,Beautyworld Japan - International Trade Fair for Beauty and Spa Industries
155,BIO tech - International Bio Technology Exhibition & Conference
156,Convertech JAPAN
157,COSME INNOVATION
158,COSME Tech
159,COSME TOKYO-INT'L COSMETICS TRADE FAIR
160,CPhI Japan (Tokyo)
161,CYCLE MODE international (Tokyo)
162,ELECTRIC VEHICLE SPECIAL EXHIBIT (EV JAPAN)
163,Embedded Systems Expo(ESEC)
164,FABTECH
165,G2E - Global Gaming Expo
166,"GlassBuild America - The Glass, Window & Door Expo"
167,"GlobalShop - The Store Fixturing Show, Visual Merchandising Show, Retail Operations and Construction Expo, POP Marketplace, InStore Interactive Show"
168,HD expo - Hospitality Design Exposition & Conference 
169,HIMSS - Healthcare Information and Management Systems Society Annual Conference & Exhibition
170,IBIE - International Baking Industry Exposition
171,IBS Las Vegas - International Beauty Show 
172,InfoComm 
173,Interbike - International Bicycle Expo
174,International Big R Show
175,International CES - Consumer Electronics Show - the Source for Consumer Technologies
176,Interop - Networking Computing Exhibition
177,IPC APEX EXPO -The Premier Electronics Industry Conference and Exhibition
178,ISC EXPO/West - International Security Conference and Exposition
179,IWCE - International Wireless Communications Expo
180,JCK - The JCK Las Vegas Show
181,KBIS - The Kitchen and Bath Industry Show (Las Vegas)
182,Las Vegas Market - Furniture Show & Decorative Accessories Market
183,LDI - Live Design International
184,Licensing International - The International Licensing & Merchandising Conference & Expo
185,"MAGIC Marketplace (MAGIC, WWDMAGIC, MAGIC Kids) - International Fashion Exhibition"
186,Medtrade Spring - Medical Products Trade Show
187,MINExpo INTERNATIONAL
188,NAB - National Association of Broadcasters Annual Convention and International Exposition
189,NADA - National Automobile Dealers Association Convention & Expo
190,NAHB International Builders' Show
191,National Ergonomics Conference & Ergo Expo
192,National Industrial Fastener & Mill Supply Expo
193,NFPA CONFERENCE & EXPO
194,NHS - National Hardware Show with Lawn & Garden World
195,Pack Expo
196,SEMA Show - Speciality Equipment Market Association/Auto InternationalSEMA
197,Natural Products Expo West
198,Aseanbeauty - South East Asia's Premier Beauty Show
199,Canadian Greenhouse Conference
200,IPIS - International Premium Incentive Show (Autumn)
201,Mega Show Part 1 - Hong Kong Gifts Premium & Household Products Show & International Toys & Gifts Show
202,Texworld - Worldwide Textile Rendez-vousTexworld
203,"Irantex - International Exhibition of Textile Machinery, Raw Materials, Home Textiles, Embroidery Machines & Textile Products"
204,"INTERFILIERE - International Exhibition of Lace, Embroidery and Textile Accessories for Lingerie"
205,Intertextile Shanghai Apparel Fabrics(Autumn) - China International Trade Fair for Apparel Fabrics and Accessories(Intertextile)()
206,Texworld USA - Worldwide Fabrics Rendez-vous (July)
207,IMM COLOGNE - The international furnishing show
208,MEDICA - World Forum for Medicine - Intern. Exhibition and Conference.(With COMPAMED Intern. Trade Fair. High tech solutions for medical technology)&/(MEDICA)
209,International Home & Housewares Show
210,BETT - British Education and Training Technology Exhibition
211,Ambiente - International Frankfurter Messe
212,INDO BUILD TECH - INDONESIA BUILDING TECHNOLOGY EXPO 
213,CONEX - Building and Construction Expo
214,"International Exhibition VIETBUILD (Hochiminh City, Jul~Aug)"
215,"Electronica - International Trade Fair for Electronic Components, Systems and Applications"
216,EUROBIKE - International Bicycle Trade Exhibition
217,EuroBLECH-International Sheet Metal Working Technology Exhibition
218,Automechanika Frankfurt  
219,Arab Health - The Middle East Exhibition for the Healthcare and Dental Industry
220,printpack alger -International Printing and Packaging Technology Exhibition
221,PACK EXPO- International
222,"Bauma China - International Trade Fair for Construction Machinery, Building Material Machines, Construction Vehicles and Equipment"
223,"INTERMOT - International Motorcycle, Scooter and Bicycle Fair"
224,Cosmoprof North America
225,COSMOPROF ASIA
226,AAPEX - Automotive Aftermarket Products Expo
227,ISPO MUNICH
228,"MOTEK - The International Trade Fair for Assembly and Handling Technology, and Automation"
229,International Printed Circuit & APEX South China Fair
230,OTC - Offshore Technology Exhibition & Conference
231,MD & M West - Medical Design and Manufacturing West Conference & Exposition
232,Global Sources Electronics - Phase I (Fall)-  ()
233,Electronics For You Expo
234,Middle East Electricity
235,"Industrial Automation / HANNOVER MESSE - Leading Trade Fair for Process, Factory and Building Automation Systems and Solutions"
236,Texworld - Worldwide Textile Rendez-vousTexworld
237,"INAPA JAKARTA - Indonesia International Auto Parts, Accessories and Equip Exhibition (March)"
238,Automechanika Jeddah 
239,REIFEN 
240,"International Exhibition VIETBUILD (Hochiminh City, Sep~Oct)"
241,Light + Building 
242,IFSEC - Security Solutions & Network Advantage
243,Security Essen 
244,WINTER NAMM - International Music Market
245,ISE Integrated Systems Europe
246,National Stationery Show
247,Paperworld - Internationale Frankfurter Messe
248,Paintindia
