"dataId","query"
1,"THE 5TH INTERNATIONAL EXHIBITION OF NUTS, DRIED FRUITS & RELATED INDUSTRIES(IRANNUTEX 2018) http://www.irannutex.ir"
2,"Philadelphia Gift Show http://www.philadelphiagiftshow.com/"
3,"Motorcycle Show Calgary http://www.calgarymotorcycleshow.ca"
4,"MOTORCYCLE SUPERSHOW - North American International Motorcycle Supershow http://www.motorcyclesupershow.ca/"
5,"Intermezzo Collections http://www.ubmfashion.com/shows/intermezzo-collections-1"
6,"FAME http://www.ubmfashion.com/shows/fame-1.5"
7,"MODA http://www.ubmfashion.com/shows/Moda-1.5"
8,"44th Hong Kong Toys & Games Fair http://www.hktdc.com/fair/hktoyfair-en/"
9,"9th Hong Kong Baby Products Fair http://www.hktdc.com/fair/hkbabyfair-en/"
10,"Hong Kong International Stationery Fair(HKISF) http://www.hkstationeryfair.com"
11,"Hong Kong International Licensing Show 2018 http://www.hktdc.com/fair/hklicensingshow-en/"
12,"KBIS 2018 - Kitchen & Bath Industry Show http://www.kbis.com"
13,"PSI 2018 - Leading European Trade Show of the Promotional Product Industry http://www.psi-messe.com/"
14,"Pitti Uomo 93 http://www.pittimmagine.com/"
15,"Heimtextil http://heimtextil.messefrankfurt.com/"
16,"CES 2018 - International Consumer Electronics Show http://www.CESweb.org/"
17,"CHICAGO Boat, RV & Sail Show http://www.chicagoboatshow.com"
18,"International Exhibition on Foundry Technology, Equipment, Supplies & Services(IFEX 2018) http://ifexindia.com"
19,"LA Art Show http://www.laartshow.com/"
20,"INDUSTRIAL BUILDING http://www.deubau-essen.de/"
21,"London Boat Show https://londonboatshow.com/"
22,"CBME Turkey 2018 - Istanbul Kids Fashion (IKF) http://istanbulkidsfashion.com/"
23,"JUNIO SHOW 2018 -  BURSA INTERNATIONAL BABY, KIDSWEAR & KIDS NECESSITIES FAIR http://www.junioshow.com/en/index.html"
24,"Vakantiebeurs 2018 http://www.vakantiebeurs.nl"
25,"Automotive Testing Expo 2018 http://www.testing-expo.com/india/"
26,"Ferien-Messe Wien 2018 http://www.ferien-messe.at"
27,"Vienna Auto Show 2018 http://www.viennaautoshow.at/"
28,"2018 ATA Trade Show http://www.archerytrade.org/trade-show"
29,"Midex 2018 - 8th International Exhibition of  Midex http://midex.ir/"
30,"InterClasssics Maastricht 2018 https://www.interclassicsmaastricht.nl/"
31,"TOKYO AUTO SALON 2018 http://www.tokyoautosalon.jp/"
32,"opti 2018 - INTERNATIONAL TRADE SHOW FOR OPTICS & DESIGN http://www.opti.de"
33,"DOMOTEX 2018 http://www.domotex.de/home"
34,"Toronto International Boat Show http://www.torontoboatshow.com/"
35,"Expo Riva Schuh http://www.exporivaschuh.it"
36,"bouw & reno http://www.bouwreno.be/"
37,"Imaging USA Expo http://imagingusa.org/imaging-expo/"
38,"NAIAS 2018 - North American International Auto Show http://www.naias.com/"
39,"Giving & Living http://www.givingliving.co.uk/"
40,"Top Drawer S/S http://www.topdrawer.co.uk/"
41,"CABSAT 2018 http://www.cabsat.com"
42,"14th SteelFab 2018 http://www.steelfabme.com/"
43,"CUE2018 http://www.cue.nl/"
44,"EcoWASTE 2018 http://ecowaste.ae/Default.aspx"
45,"imm cologne 2018 http://www.imm-cologne.com/"
46,"WFES 2018 - World Future Energy Summit http://www.worldfutureenergysummit.com/"
47,"SIHH 2018 - Salon International de la Haute Horlogerie http://www.sihh.org"
48,"COUROMODA 2018 - 45th International Shoe, Leather Goods and Accessories Fair http://www.couromoda.com"
