"showId","text"
1,"International Fair to children and youth of Valencia(FIV - ExpoJove)"
2,"2012 International CES - International Consumer Electronics Show(2012 International CES)"
3,"7th International Door & Door Hardware Fair - 7th International Wooden, Steel, Automatic, Industrial Door & Door Hardware Specialized Fair (Door Fair Turkey)"
4,"MAHATech 2015"
5,"Canada's Bridal Show 2012(Spring Bridal Show )"
6,"North American International Motorcycle Supershow(SUPERSHOW 2012)"
7,"2012 Calgary Motorcycle Show"
8,"London Boat Show"
9,"Houston Boat Sport & Travel Show"
10,"11th Arab International Plastics & Rubber Industry Trade Show & Conference(Arabplast 2013)"
11,"NORTH AMERICAN INTERNATIONAL AUTO SHOW(NAIAS)"
12,"Imaging EXPO"
13,"ENKNYC 2012(ENKNYC 2012)"
14,"FAME"
15,"Moda"
16,"Hong Kong International Stationery Fair 2014(HKISF14)"
17,"Hong Kong International  Licensing Show 2012"
18,"13th International Energy Exhibition(Kish ENEX 2017)"
19,"International Trade Fair for the Hotel and Catering Industry(HORECAVA 13)"
20,"Hong Kong Toys & Games Fair 2012(HKTGF)"
21,"7th Vibrant Gujarat Summit(VG)"
22,"HKTDC Hong Kong Baby Products Fair 2012"
23,"NAHB INTERNATIONAL BUILDER'S SHOW 2012(NAHB)"
24,"Heimtextil 2013 - International trade fair for home and contract textiles (Heimtextil )"
25,"80th Pitti Immagine Uomo (Pitti Immagine Uomo)"
26,"Kitchen & Bath Industry Show(KBIS 2012)"
27,"The PPAI Expo - Promotional Products Association International(The PPAI Expo)"
28,"The International Network of The Promotional Product Industry(PSI)"
29,"ISMOB- Istanbul Furniture Fair"
30,"ATA  Trade Show(ATA Show)"
31,"LA Art Show 2016"
32,"Vakantiebeurs 2015"
33,"CHICAGO Boat, RV & Strictly Sail Show"
34,"Istanbul International Children Baby Maternity Industry Expo(CBME Turkey)"
35,"International building and interiors exhibition Week of Building & Architecture(SibBuild)"
36,"The Fair for Holidays, Travel & Leisure(Ferien-Messe Wien)"
37,"Vienna Auto Show"
38,"InterClassics - TopMobiel 2015"
39,"TAIWAN NEW YEAR MARKET FAIR"
40,"Atlanta Boat Show"
41,"EXPOZOO 2015"
42,"TOKYO AUTO SALON 2012 with NAPAC"
43,"DOMOTEX HANNOVER 2014 - The leading Trade Fair for Floor Coverings(DOMOTEX  )"
44,"77th Expo Riva Schuh :International shoe Fair(Expo Riva Schuh)"
45,"bouw & reno"
46,"7th Exhibition of  Interior Design , Architecture ,Modern House(Midex 2017)"
47,"Hotel and Catering Exhibition Nuernberg(HOGA Nuernberg)"
48,"Top Drawer London Spring/Summer"
49,"Couromoda 2014 - 41st International Shoes, Sportsgoods and Leathergoods Fair (Couromoda 2014)"
50,"Giving & Living: The Premier Gift & Home Coast & Tourism Trade Show(Giving & Living  )"
51,"International Trade Fair for Architecture, Materials and Systems(BAU 2015)"
52,"The International Furnishing Show - imm cologne(imm cologne)"
53,"World Future Energy Summit 2012(WFES2012)"
54,"International Water Summit 2013(IWS2013)"
55,"EcoWASTE 2015"
56,"Salon International de la Haute Horlogerie(SIHH)"
57,"SteelFab 2014(SF)"
58,"Souvenir Show 2013 Spring(Souvenir Show )"
59,"NATPE Market & Conference (NATPE 2015)"
60,"SHOT Show (SHOT Show )"
61,"EAG International(EAG 2016)"
62,"2012 Florida RV SuperShow"
63,"World of Concrete 2012(World of Concrete 2012)"
64,"Premiere Vision New York Spring Summer 2015 (PREMIERE VISION)"
65,"Auto Zum : International Trade Fair for Car Workshop & Petrol Station Equipment (Auto Zum)"
66,"NEPCON JAPAN 2015"
67,"41st INTERNEPCON JAPAN"
68,"29th ELECTROTEST JAPAN"
69,"13th IC PACKAGING TECHNOLOGY EXPO -ICP-(ICP)"
70,"MicroTech JAPAN - 3rd Micro Fabrication / Fine Process Technology Expo( MicroTech Japan)"
71,"PWB EXPO-13th Printed Wiring Boards Expo(PWB EXPO)"
72,"13th International Electronic Components Trade Show - ELE TRADE 2012-(ELE TRADE)"
73,"EV JAPAN-3rd EV & HEV Drive System Technology Expo(EV JAPAN)"
74,"3rd Connected Car JAPAN"
75,"1st SMART AUTOMOTIVE FACTORY EXPO"
76,"SURFACES 2012"
77,"MARCA 2012:The Private Label Business Alliance(MARCA 2012)"
