"dataId","query","idGroup"
1,"International Fair to children and youth of Valencia(FIV - ExpoJove) http://www.feriavalencia.com/event/fivexpojove/",0
2,"International Consumer Electronics Show(CES) http://www.CESweb.org",0
3,"MAHATech 2017 http://www.maha-tech.com",0
4,"11th International Wooden, Steel, Automatic, Industrial Door & Door Hardware Specialized Fair(Door Fair Turkey) http://www.doorfair.com",0
5,"London Boat Show http://www.londonboatshow.com",0
6,"Seattle Gift Show http://www.seattlegiftshow.com/312/seattle-gift-show-home.htm",0
7,"Philadelphia Gift Show http://www.philadelphiagiftshow.com/",0
8,"Canada's Bridal Show http://www.canadasbridalshow.com/",0
9,"North American International Motorcycle Supershow(MOTORCYCLE SUPERSHOW) http://www.motorcyclesupershow.ca/",0
10,"Houston International Boat, Sport & Travel SUPER SHOW http://houstonboatshows.com/",0
11,"Motorcycle Show Calgary http://www.calgarymotorcycleshow.ca",0
12,"arabplast 2017 http://www.arabplast.info/",0
13,"Imaging USA (Imaging Expo) http://imagingusa.org/imaging-expo/",0
14,"Intermezzo Collections http://www.enkshows.com/intermezzo/#",0
15,"FAME http://www.fameshows.com/",0
16,"Moda http://www.modamanhattan.com/",0
17,"North American International Auto Show 2017(NAIAS 2017) http://www.naias.com/",0
18,"Horecava 2017 http://www.horecava.nl/",0
19,"8th Hong Kong Baby Products Fair http://www.hktdc.com/fair/hkbabyfair-en/",0
20,"43rd Hong Kong Toys & Games Fair http://www.hktdc.com/fair/hktoyfair-en/",0
21,"13th International Energy Exhibition(Kish ENEX 2017) http://kishenex.ir",0
22,"Hong Kong International Licensing Show 2017 http://www.hktdc.com/fair/hklicensingshow-en/",0
23,"Vibrant Gujarat Global Trade Show 2017(VGGTS-2017) http://vibrantgujarat.com/",0
24,"Hong Kong International Stationery Fair 2017(HKISF) http://www.hkstationeryfair.com",0
25,"JUNIO SHOW  Bursa 9th Baby, Kidswear, Kids Necessities Fair http://www.junioshow.com/en/index.html",0
26,"PSI 2017 - Leading European Trade Show of the Promotional Products Industry http://www.psi-messe.com/",0
27,"Outdoor Retailer Winter Market 2017 http://www.outdoorretailer.com/",0
28,"Istanbul Furniture Fair 2017(ISMOB) http://www.ismob.com.tr",0
29,"Heimtextil http://heimtextil.messefrankfurt.com/",0
30,"Pitti Immagine Uomo 91 http://www.pittimmagine.com/corporate.html",0
31,"2017 ATA Trade Show http://www.archerytrade.org/trade-show",0
32,"Kitchen & Bath Industry Show(KBIS 2017) http://www.kbis.com",0
33,"The PPAI Expo http://expo.ppai.org/",0
34,"NAHB INTERNATIONAL BUILDER'S SHOW 2017(IBS) http://www.buildersshow.com/Home/",0
35,"Vakantiebeurs 2017 http://www.vakantiebeurs.nl",0
36,"International Istanbul Children Baby Maternity Industry Expo (CBME Turkey) http://istanbulkidsfashion.com/",0
37,"CHICAGO Boat, RV & Strictly Sail Show http://www.chicagoboatshow.com",0
38,"LA Art Show 2017 http://www.laartshow.com/",0
39,"Ferien-Messe Wien 2017 http://www.ferien-messe.at",0
40,"Vienna Auto Show 2017 http://www.viennaautoshow.at/",0
41,"InterClasssics Maastricht 2017 http://www.ic-tm.nl/",0
42,"2017 Taiwan New Year Market Fair http://www.twtcshopfair.com.tw/",0
43,"Atlanta Boat Show 2017 http://www.atlantaboatshow.com",0
44,"EXPOZOO 2017 http://www.expozoo.com",0
45,"3rd International Cafe Equipment Supplies & Technology Exhibition(Cafe Malaysia 2017) http://cafe-malaysia.com",0
46,"TOKYO AUTO SALON 2017 http://www.tokyoautosalon.jp/",0
47,"Expo Riva Schuh - International shoe Fair http://www.exporivaschuh.it",0
48,"bouw & reno http://www.bouwreno.be/",0
49,"DOMOTEX 2017 http://www.domotex.de/home",0
50,"7th Exhibition of  Interior Design , Architecture ,Modern House(Midex 2017) http://midex.ir/",0
51,"HOGA Nuernberg http://www.hoga-messe.de/home.html",0
52,"Giving & Living http://www.givingliving.co.uk/",0
53,"Top Drawer Spring http://www.topdrawer.co.uk/",0
54,"44th International Shoe, Leather Goods and Accessories Fair(COUROMODA 2017) http://www.couromoda.com",0
55,"Salon International de la Haute Horlogerie(SIHH 2017) http://www.sihh.org",0
56,"The 13th SteelFab 2017 http://www.steelfabme.com/default.htm",0
57,"imm cologne 2017 http://www.imm-cologne.com/",0
