dataId,text
1,International Fair to children and youth of Valencia(FIV - ExpoJove)-http://www.feriavalencia.com/event/fivexpojove/
2,2012 International CES - International Consumer Electronics Show(2012 International CES)-http://www.CESweb.org
3,"7th International Door & Door Hardware Fair - 7th International Wooden, Steel, Automatic, Industrial Door & Door Hardware Specialized Fair (Door Fair Turkey)-http://www.doorfair.com"
4,MAHATech 2015-http://www.maha-tech.com/
5,Canada's Bridal Show 2012(Spring Bridal Show )-http://www.canadasbridalshow.com/
6,North American International Motorcycle Supershow(SUPERSHOW 2012)-http://www.supershowevents.com/
7,2012 Calgary Motorcycle Show-http://www.calgarymotorcycleshow.ca
8,London Boat Show-http://www.londonboatshow.com
9,Houston Boat Sport & Travel Show-http://houstonboatshows.com/
10,11th Arab International Plastics & Rubber Industry Trade Show & Conference(Arabplast 2013)-http://www.arabplast.info
11,NORTH AMERICAN INTERNATIONAL AUTO SHOW(NAIAS)-http://www.naias.com/
12,Imaging EXPO-http://imagingusa.org/imaging-expo/
13,ENKNYC 2012(ENKNYC 2012)-http://www.enkshows.com
14,FAME-http://www.fameshows.com/
15,Moda-http://www.modamanhattan.com/
16,Hong Kong International Stationery Fair 2014(HKISF14)-http://www.hktdc.com/fair/hkstationeryfair-tc/
17,Hong Kong International  Licensing Show 2012-http://hklicensingshow.hktdc.com/
18,13th International Energy Exhibition(Kish ENEX 2017)-http://kishenex.ir
19,International Trade Fair for the Hotel and Catering Industry(HORECAVA 13)-http://www.horecava.nl/
20,Hong Kong Toys & Games Fair 2012(HKTGF)-http://hktoyfair.com
21,7th Vibrant Gujarat Summit(VG)-http://vibrantgujarat.com/vg-2015.htm
22,HKTDC Hong Kong Baby Products Fair 2012-http://www.hktdc.com/fair/hkbabyfair-en/
23,NAHB INTERNATIONAL BUILDER'S SHOW 2012(NAHB)-http://www.buildersshow.com/Home/
24,Heimtextil 2013 - International trade fair for home and contract textiles (Heimtextil )-http://www.heimtextil.de
25,80th Pitti Immagine Uomo (Pitti Immagine Uomo)-http://www.pittimmagine.com
26,Kitchen & Bath Industry Show(KBIS 2012)-http://www.kbis.com
27,The PPAI Expo - Promotional Products Association International(The PPAI Expo)-http://expo.ppai.org/
28,The International Network of The Promotional Product Industry(PSI)-http://www.psi-network.de/50th_psi_trade_show_2012_in_duesseldorf_1091.html
29,ISMOB- Istanbul Furniture Fair-http://www.ismob.com.tr
30,ATA  Trade Show(ATA Show)-http://www.archerytrade.org
31,LA Art Show 2016-http://www.laartshow.com/
32,Vakantiebeurs 2015-http://www.vakantiebeurs.nl
33,"CHICAGO Boat, RV & Strictly Sail Show-http://www.chicagoboatshow.com"
34,Istanbul International Children Baby Maternity Industry Expo(CBME Turkey)-http://www.cbmeturkey.com/?lng=en
35,International building and interiors exhibition Week of Building & Architecture(SibBuild)-http://sibbuild.com/en-GB/home/SibBuild.aspx
36,"The Fair for Holidays, Travel & Leisure(Ferien-Messe Wien)-http://www.ferien-messe.at"
37,Vienna Auto Show-http://www.viennaautoshow.at/
38,InterClassics - TopMobiel 2015-http://www.ic-tm.nl/
39,TAIWAN NEW YEAR MARKET FAIR-http://www.twtcshopfair.com.tw/
40,Atlanta Boat Show-http://www.atlantaboatshow.com
41,EXPOZOO 2015-http://www.expozoo.com
42,TOKYO AUTO SALON 2012 with NAPAC-http://www.tokyoautosalon.jp/
