group,string,score,dataId,idG
group0,International Fair to children and youth of Valencia(FIV - ExpoJove) http://www.feriavalencia.com/event/fivexpojove/,1,1,0
group1,International Consumer Electronics Show(CES) http://www.CESweb.org,1,2,0
group1,CES 2018 - International Consumer Electronics Show http://www.CESweb.org/,0.9878004702,3280,1
group2,MAHATech 2017 http://www.maha-tech.com,1,3,0
group2,MAHATech 2018 http://www.maha-tech.com,0.9714987548,3538,1
group3,"11th International Wooden, Steel, Automatic, Industrial Door & Door Hardware Specialized Fair(Door Fair Turkey) http://www.doorfair.com",1,4,0
group3,"Door Fair Turkey 2018 - 12th International Wooden, Steel, Automatic, Industrial Door & Door Hardware Specialization Fair http://www.doorfair.com",0.9053523123,3588,1
group4,London Boat Show http://www.londonboatshow.com,1,5,0
group4,London Boat Show https://londonboatshow.com/,0.9265526036,3285,1
group5,Seattle Gift Show http://www.seattlegiftshow.com/312/seattle-gift-show-home.htm,1,6,0
group5,Seattle Gift Show http://www.seattlegiftshow.com/312/seattle-gift-show-home.htm,1,1965,0
group5,Aerospace & Defense Supplier Summit Seattle(A&DSS Seattle ) http://seattle.bciaerospace.com/,0.5206714648,3997,1
group6,Philadelphia Gift Show http://www.philadelphiagiftshow.com/,1,7,0
group6,Philadelphia Gift Show http://www.philadelphiagiftshow.com/,1,3266,1
group7,Canada's Bridal Show http://www.canadasbridalshow.com/,1,8,0
group7,Canada's Bridal Show http://www.canadasbridalshow.com/,1,2132,0
group8,North American International Motorcycle Supershow(MOTORCYCLE SUPERSHOW) http://www.motorcyclesupershow.ca/,1,9,0
group8,MOTORCYCLE SUPERSHOW - North American International Motorcycle Supershow http://www.motorcyclesupershow.ca/,1,3268,1
group9,"Houston International Boat, Sport & Travel SUPER SHOW http://houstonboatshows.com/",1,10,0
group10,Motorcycle Show Calgary http://www.calgarymotorcycleshow.ca,1,11,0
group10,Motorcycle Show Calgary http://www.calgarymotorcycleshow.ca,1,3267,1
group11,arabplast 2017 http://www.arabplast.info/,1,12,0
group12,Imaging USA (Imaging Expo) http://imagingusa.org/imaging-expo/,1,13,0
group12,Imaging USA Expo http://imagingusa.org/imaging-expo/,0.9815946119,3301,1
group13,Intermezzo Collections http://www.enkshows.com/intermezzo/#,1,14,0
group13,Intermezzo Collections http://www.ubmfashion.com/shows/intermezzo-collections/#,0.7980286327,1217,0
group13,Intermezzo Collections http://www.ubmfashion.com/shows/intermezzo-collections-1,0.7980286327,1909,0
group13,Intermezzo Collections http://www.ubmfashion.com/shows/intermezzo-collections-1,0.7980286327,3269,1
group14,FAME http://www.fameshows.com/,1,15,0
group14,FAME http://www.fameshows.com/,1,475,0
group14,FAME http://www.ubmfashion.com/shows/Fame-1,0.5590809384,1218,0
group14,FAME http://www.ubmfashion.com/shows/fame-1.5,0.5590809384,1910,0
group14,FAME http://www.ubmfashion.com/shows/Fame,0.5590809384,2278,0
group14,FAME http://www.ubmfashion.com/shows/fame-1.5,0.5590809384,3270,1
group15,Moda http://www.modamanhattan.com/,1,16,0
group15,MODA http://www.moda-uk.co.uk/,0.5139116623,383,0
group15,Moda http://www.modamanhattan.com/,1,476,0
group15,MODA http://www.ubmfashion.com/shows/Moda-1,0.5590809384,1219,0
group15,MODA http://www.ubmfashion.com/shows/Moda-1.5,0.5590809384,1911,0
group15,MODA http://www.moda-uk.co.uk/,0.5139116623,1914,0
group15,MODA http://www.ubmfashion.com/shows/Moda-1.5,0.5590809384,2279,0
group15,MODA http://www.ubmfashion.com/shows/Moda-1.5,0.5590809384,3271,1
group16,North American International Auto Show 2017(NAIAS 2017) http://www.naias.com/,1,17,0
group16,NAIAS 2018 - North American International Auto Show http://www.naias.com/,0.9755613011,3302,1
group17,Horecava 2017 http://www.horecava.nl/,1,18,0
group18,8th Hong Kong Baby Products Fair http://www.hktdc.com/fair/hkbabyfair-en/,1,19,0
group18,9th Hong Kong Baby Products Fair http://www.hktdc.com/fair/hkbabyfair-en/,0.9119328318,3273,1
group19,43rd Hong Kong Toys & Games Fair http://www.hktdc.com/fair/hktoyfair-en/,1,20,0
group19,44th Hong Kong Toys & Games Fair http://www.hktdc.com/fair/hktoyfair-en/,0.8441328933,3272,1
group20,13th International Energy Exhibition(Kish ENEX 2017) http://kishenex.ir,1,21,0
group20,Kish ENEX 2018 - 14th International Petro Energy Exhibition http://kishenex.ir,0.7901951681,3374,1
group21,Hong Kong International Licensing Show 2017 http://www.hktdc.com/fair/hklicensingshow-en/,1,22,0
