dataId,query,matchResult,showId,Score,ScoreStd,hit1,hitw1,contain_hit1,hit2,hitw2,contain_hit2
1,EUROBIKE - International Bicycle Trade Exhibition,EUROBIKE 2014,2221,0.926743911444,0.185348782289,eurobike,9.0974262986,True,bicycle,8.40427911804,False
2,OutDoor - European Outdoor Trade Fair(European Outdoor),Asia Outdoor Trade Show 2012,1567,1.05225452779,0.263063631949,outdoor,6.65507926323,True,european,6.45836896898,False
3,SPEZI - International Special Bikes Show,Asia Bike Trade Show,6382,1.07998006017,0.269995015043,special,7.71113193748,False,bike,7.39267820636,True
4,COTECA - Tea Coffee Cocoa Global Industry Expo,International Coffee & Tea Industry Expo 2014(ICT Expo 2014),4568,1.4865164867,0.297303297341,coffee,7.59334890182,True,tea,7.48798838616,True
5,"INTERGEO - Conference and Trade Fair for Geodesy, Geoinformation and Land Management","International Conference and Trade Fair for Geodesy, Geoinformation and Land Management(INTERGEO)",3343,2.61239340608,0.32654917576,geodesy,9.0974262986,True,intergeo,9.0974262986,True
6,"SMM- shipbuilding, machinery & marine technology international trade fair hamburg","SMM - Shipbuilding, Machinery & Marine Technology International Trade Fair Hamburg(SMM)",2990,2.73984664245,0.304427404717,smm,8.69196119049,True,shipbuilding,7.99881400993,True
7,WORLD PM Congress and Exhibition,The 8th Annual World Biofuels Markets Congress & Exhibition(World Biofuels Markets ),2436,0.845957295123,0.281985765041,congress,5.64743875277,True,world,4.57563772155,True
8,AGRITECHNICA - International DLG Exhibition for Agricultural Machinery ,AGRITECHNICA 2013 - International Exhibition for Agricultural Machinery(AGRITECHNICA),1943,1.92986489634,0.32164414939,dlg,9.0974262986,False,agritechnica,8.69196119049,True
9,CeBIT - Heart of the digital world,CeBIT 2012(CeBIT 2012),680,0.95855193819,0.239637984548,heart,9.0974262986,False,cebit,8.18113556672,True
10,CeMAT Hannover - The World's leading Fair for Intralogistics,VISION - Leading world trade fair for machine vision(VISION 2014),2182,1.04080299757,0.173467166261,intralogistics,8.40427911804,False,hannover,7.8446633301,False
11,DOMOTEX HANNOVER - The World of Flooring,DOMOTEX HANNOVER 2014 - The leading Trade Fair for Floor Coverings(DOMOTEX  ),43,1.32254722292,0.33063680573,domotex,8.18113556672,True,hannover,7.8446633301,True
12,"Energy / HANNOVER MESSE - Leading Trade Fair for Renewable and Conventional Power Generation, Transmission and Distribution",HANNOVER MESSE 2012(HANNOVER MESSE 2012),1010,1.37518142082,0.114598451735,conventional,9.0974262986,False,hannover,7.8446633301,True
