dataId,query,matchResult,showId,Score,ScoreStd,hit1,hitw1,contain_hit1,hit2,hitw2,contain_hit2
1,Mega Show Part 1 - Hongkong Gifts Premium & Household Products Show & International Toys & Gifts Show,MEGA SHOW PART 1 & 2(21th Hong Kong International Toys & Gifts Show and 20th Asian Gifts Premium & Household Products Show)(MEGA SHOW PART 1& 2)-http://www.mega-show.com/Part1/EN/index.php,2263,1.93898017923,0.193898017923,mega,7.59486935217,True,household,7.48950883651,True
2,INTERNATIONALE EISENWARENMESSE -  INTERNATIONAL HARDWARE FAIR COLOGNE ,INTERNATIONAL HARDWARE FAIR COLOGNE-http://www.hardwarefair.com/,2011,1.32448625357,0.220747708929,eisenwarenmesse,9.09894674894,False,internationale,7.3941986567,False
3,ISM - International Sweets and Biscuits Fair,ISM - International Sweets and Biscuits Fair Cologne(ISM)-http://www.ism-cologne.de,179,1.73723621909,0.347447243818,ism,9.09894674894,True,biscuits,9.09894674894,True
4,Kind + Jugend - The Trade Show for Kids  First Years,International Baby to Teenager Fair Cologne(Kind + Jugend )-http://www.kindundjugend.de/,2235,0.851062300655,0.141843716776,kind,9.09894674894,True,jugend,9.09894674894,True
5,ORGATEC - Modern Office & Facility,ORGATEC - Modern Office & Object (ORGATEC)-http://www.orgatec.de,2243,1.39802961376,0.349507403439,orgatec,9.09894674894,True,facility,7.30718727972,False
6,PHOTOKINA- world of imaging,photokina - world of imaging (photokina 2012)-http://www.photokina.de/,2183,1.54392004949,0.514640016498,photokina,9.09894674894,True,image,7.0840437284,True
7,PMRExpo - Professional Mobile Radio and Command & Control Centres,Control China 2012-http://www.control-china.de,4281,0.728017341581,0.182004335395,radio,9.09894674894,False,mobile,6.95888058545,False
8,Professional MotorSport World Expo,Professional MotorSport World Expo 2014-http://www.professionalmotorsport-expo.com/,3664,1.44129187754,0.360322969385,motorsport,9.09894674894,True,professional,6.95888058545,True
9,ProSweets Cologne ,gamescom 2015-http://www.gamescom-cologne.com/,1677,0.58333450074,0.29166725037,prosweets,9.09894674894,False,cologne,7.22714457204,True
10,"Spoga + Gafa (Herbst/autumn) - The garden trade fair, Cologne",spoga + gafa 2012 - The Garden Trade Fair (spoga + gafa 2012)-http://www.spogagafa.com/,2241,1.71452226517,0.244931752168,gafa,9.09894674894,True,spoga,8.40579956838,True
