"訪談日期","部門","new_GeneralInformation","new_Interviewer"
2017-12-26,"會本部. EBS","一、臺灣行銷科學學會（以下簡稱該學會）任秘書長立中表示該學會業已爭取「2019年亞洲行銷聯盟大會」來臺辦理，並擬於同時間辦理首屆「臺灣行銷及品牌博覽會（Taiwan Marketing and Branding Expo）」。二、「2019年亞洲行銷聯盟大會」暫訂於2019年3月辦理，除亞洲行銷聯盟會理事會、會員大會外，將結合大師講座（World Marketing Summit）、全球華人行銷聯盟（Global Chinese Marketing Federation）研討會及產業分組研討會辦理。三、有鑑於國內並無行銷及品牌相關展覽，為提升我國中小企業品牌行銷能力，任秘書長期可集結產、官、學界力量，辦理首屆B2B「臺灣行銷及品牌博覽會（Taiwan Marketing and Branding Expo）」。初步規劃徵集400家國內外品牌行銷相關業者，如公關公司、形象出版公司、CRM公司、物流通路等共同展出。四、為提升活動整體效益，任秘書長表示目前規劃以會加展方式辦理，會議場地以臺北國際會議中心為主，展覽部份則希望使用鄰近之世貿一館。五、本中心已向該會介紹MEET TAIWAN服務項目，將後續協助洽詢會議及展覽場地檔期，並彙整MEET TAIWAN與其他政府機關補捐助資訊。","狄婷"
2017-12-26,"會本部. EBS","1. 該司產品住要供海事使用。民用產品很少2. 已決定參加2018「高雄國際海事船舶暨國防工業展」，不考慮遊艇展","盧育慶"
2017-12-26,"會本部. EBS","整體服務滿意,內容實用","曾碧枝"
2017-12-25,"會本部. EBS","(一)該公司與日本近畿旅行社策略合作，專營日本市場，業務以觀光為主，亦承接日本企業獎勵旅遊、教育旅行、產業參訪、觀展團及日本政府在臺觀光推廣活動等。(二)顧部長分享日本企業辦理會議獎旅之習性如下：1.以舉辦週年慶祝大會、經銷商表揚大會為主，單純辦理企業會議者較少。2.因配合日本會計年度作業時程(每年4月至隔年3月)，日本企業舉辦會議獎旅之旺季為每年9月至隔年2月。3.日本企業多以競標方式遴選承作旅行社，部分企業會將大會或晚宴等活動委託日本公關公司來臺執行；臺灣旅行社通常受日本承作旅行社委託負責當地接待。(三)顧部長亦分享臺灣業者經營日本市場模式，他表示旅行社及飯店多以一般觀光旅遊業務為主軸，透過設立日本分公司、派駐日本業務代表或與日方業者策略合作等方式長期經營日本市場，因此案源穩定。(四)日本企業及旅行社具企業會議獎旅之主導性，顧部長爰表示可向日商在臺分公司或日本承作outbound之旅行社推廣臺灣會展，向渠等介紹政府資源、獎勵措施及臺灣會議獎旅優勢及特色等，提升渠等來臺辦理會議獎旅之意願。","彭淳專員"
2017-12-25,"會本部. EBS","1.該公司主要產品為香料與各類添加物2.主要以進口為主:  中國 與歐洲 3.目前正在建工廠 , 該公司以內銷為主4.銷售通路主要是業務拜訪與投標案5.推薦台灣經貿網給貴公司,增加公司曝光度","楊雅棻"
2017-12-25,"會本部. EBS","1.了解臺灣無人機產業發展現況，目前正值發展階段，因制度不完善，尚無具規模之大廠，國際無人機專案展覽謹有日本與深圳。2.我國廠商掌握無人機關鍵零組件技術，未來結合IOT等運用，將廣泛應用於國防產業、環境監測、農業、智慧城市等方面，商機可期。3.邀請協會參加2018年巴林國際航展、凱爾策(波蘭)國防工業展等外交部委辦商展，並轉知會員廠商參加。","鄒長青組長、劉育廷"
2017-12-25,"會本部. EBS","xxxxxxxx","test"
2017-12-25,"會本部. EBS","1. 該司12/19報名2018國際遊艇展2. 選位時，希望與高雄市觀光局攤位等相鄰，互相吸引人潮。也協助本處強化會展旅遊陣容3. 該司12/22電子郵件發2018國際遊艇展承辦人張心怡，表達希望進一步策略合作4. 該司提議交換資源應用，例如:    A.提供VIP招待券(價值$380)或    B.貴賓團參觀附導覽(每場40人/價值$15,200元)5. 相對希望貿協    A.攤位費用交換或    B.廣告版面交換或    C.遊艇展參觀票券","盧育慶"
2017-12-25,"會本部. EBS",NA,"廖芝槿、林家如"
2017-12-22,"會本部. EBS",NA,"余雯玲組長、陳彥廷專員"
