"dataId","query"
1,"International Fair to children and youth of Valencia(FIV - ExpoJove) http://www.feriavalencia.com/event/fivexpojove/"
2,"International Consumer Electronics Show(CES) http://www.CESweb.org"
3,"MAHATech 2017 http://www.maha-tech.com"
4,"11th International Wooden, Steel, Automatic, Industrial Door & Door Hardware Specialized Fair(Door Fair Turkey) http://www.doorfair.com"
5,"London Boat Show http://www.londonboatshow.com"
6,"Seattle Gift Show http://www.seattlegiftshow.com/312/seattle-gift-show-home.htm"
7,"Philadelphia Gift Show http://www.philadelphiagiftshow.com/"
8,"Canada's Bridal Show http://www.canadasbridalshow.com/"
9,"North American International Motorcycle Supershow(MOTORCYCLE SUPERSHOW) http://www.motorcyclesupershow.ca/"
10,"Houston International Boat, Sport & Travel SUPER SHOW http://houstonboatshows.com/"
11,"Motorcycle Show Calgary http://www.calgarymotorcycleshow.ca"
12,"arabplast 2017 http://www.arabplast.info/"
13,"Imaging USA (Imaging Expo) http://imagingusa.org/imaging-expo/"
14,"Intermezzo Collections http://www.enkshows.com/intermezzo/#"
15,"FAME http://www.fameshows.com/"
16,"Moda http://www.modamanhattan.com/"
17,"North American International Auto Show 2017(NAIAS 2017) http://www.naias.com/"
18,"Horecava 2017 http://www.horecava.nl/"
19,"8th Hong Kong Baby Products Fair http://www.hktdc.com/fair/hkbabyfair-en/"
20,"43rd Hong Kong Toys & Games Fair http://www.hktdc.com/fair/hktoyfair-en/"
21,"13th International Energy Exhibition(Kish ENEX 2017) http://kishenex.ir"
22,"Hong Kong International Licensing Show 2017 http://www.hktdc.com/fair/hklicensingshow-en/"
23,"Vibrant Gujarat Global Trade Show 2017(VGGTS-2017) http://vibrantgujarat.com/"
24,"Hong Kong International Stationery Fair 2017(HKISF) http://www.hkstationeryfair.com"
25,"JUNIO SHOW  Bursa 9th Baby, Kidswear, Kids Necessities Fair http://www.junioshow.com/en/index.html"
26,"PSI 2017 - Leading European Trade Show of the Promotional Products Industry http://www.psi-messe.com/"
27,"Outdoor Retailer Winter Market 2017 http://www.outdoorretailer.com/"
28,"Istanbul Furniture Fair 2017(ISMOB) http://www.ismob.com.tr"
29,"Heimtextil http://heimtextil.messefrankfurt.com/"
30,"Pitti Immagine Uomo 91 http://www.pittimmagine.com/corporate.html"
31,"2017 ATA Trade Show http://www.archerytrade.org/trade-show"
32,"Kitchen & Bath Industry Show(KBIS 2017) http://www.kbis.com"
33,"The PPAI Expo http://expo.ppai.org/"
34,"NAHB INTERNATIONAL BUILDER'S SHOW 2017(IBS) http://www.buildersshow.com/Home/"
35,"Vakantiebeurs 2017 http://www.vakantiebeurs.nl"
36,"International Istanbul Children Baby Maternity Industry Expo (CBME Turkey) http://istanbulkidsfashion.com/"
37,"CHICAGO Boat, RV & Strictly Sail Show http://www.chicagoboatshow.com"
38,"LA Art Show 2017 http://www.laartshow.com/"
39,"Ferien-Messe Wien 2017 http://www.ferien-messe.at"
40,"Vienna Auto Show 2017 http://www.viennaautoshow.at/"
41,"InterClasssics Maastricht 2017 http://www.ic-tm.nl/"
42,"2017 Taiwan New Year Market Fair http://www.twtcshopfair.com.tw/"
43,"Atlanta Boat Show 2017 http://www.atlantaboatshow.com"
44,"EXPOZOO 2017 http://www.expozoo.com"
45,"3rd International Cafe Equipment Supplies & Technology Exhibition(Cafe Malaysia 2017) http://cafe-malaysia.com"
46,"TOKYO AUTO SALON 2017 http://www.tokyoautosalon.jp/"
47,"Expo Riva Schuh - International shoe Fair http://www.exporivaschuh.it"
48,"bouw & reno http://www.bouwreno.be/"
49,"DOMOTEX 2017 http://www.domotex.de/home"
50,"7th Exhibition of  Interior Design , Architecture ,Modern House(Midex 2017) http://midex.ir/"
51,"HOGA Nuernberg http://www.hoga-messe.de/home.html"
52,"Giving & Living http://www.givingliving.co.uk/"
53,"Top Drawer Spring http://www.topdrawer.co.uk/"
54,"44th International Shoe, Leather Goods and Accessories Fair(COUROMODA 2017) http://www.couromoda.com"
55,"Salon International de la Haute Horlogerie(SIHH 2017) http://www.sihh.org"
56,"The 13th SteelFab 2017 http://www.steelfabme.com/default.htm"
57,"imm cologne 2017 http://www.imm-cologne.com/"
58,"BAU 2017 - World's Leading Trade Fair for Architecture, Materials and Systems http://www.bau-muenchen.com"
59,"World Future Energy Summit 2017(WFES 2017) http://www.worldfutureenergysummit.com/"
60,"International Water Summit 2017(IWS 2017) http://iwsabudhabi.com/"
61,"EcoWASTE 2017 http://ecowaste.ae/Default.aspx"
62,"Souvenir Show 2017 Spring(Souvenir Show ) http://kankoubussan.jimdo.com/"
