"showId","text"
1,"International Fair to children and youth of Valencia(FIV - ExpoJove) http://www.feriavalencia.com/event/fivexpojove/"
2,"2012 International CES - International Consumer Electronics Show(2012 International CES) http://www.CESweb.org"
2,"International Consumer Electronics Show(2013 International CES) http://www.CESweb.org"
2,"International Consumer Electronics Show(2014 International CES) http://www.cesweb.org/"
2,"2015 International CES(International CES) http://www.cesweb.org/"
2,"International CES (Consumer Electronics Show)(CES) http://www.CESweb.org"
2,"International Consumer Electronics Show(CES) http://www.CESweb.org"
3,"7th International Door & Door Hardware Fair - 7th International Wooden, Steel, Automatic, Industrial Door & Door Hardware Specialized Fair (Door Fair Turkey) http://www.doorfair.com"
3,"9th International Door & Door Hardware Fair - 9th International Wooden, Steel, Automatic, Industrial Door & Door Hardware Specialized Fair (Door Fair Turkey) http://www.doorfair.com"
3,"10th International Wooden, Steel, Automatic, Industrial Door & Door Hardware Specialized Fair(Door Fair Turkey) http://www.doorfair.com"
3,"11th International Wooden, Steel, Automatic, Industrial Door & Door Hardware Specialized Fair(Door Fair Turkey) http://www.doorfair.com"
4,"MAHATech 2015 http://www.maha-tech.com/"
4,"MAHATech 2016 http://www.maha-tech.com"
4,"MAHATech 2017 http://www.maha-tech.com"
5,"Canada's Bridal Show 2012(Spring Bridal Show ) http://www.canadasbridalshow.com/"
5,"Canada's Bridal Show 2015 http://www.canadasbridalshow.com/"
5,"Canada's Bridal Show http://www.canadasbridalshow.com/"
5,"Canada's Bridal Show http://www.canadasbridalshow.com/"
6,"North American International Motorcycle Supershow(SUPERSHOW 2012) http://www.supershowevents.com/"
6,"North American International Motorcycle Supershow 2013(SUPERSHOW 2013) http://www.supershowevents.com/"
6,"North American International Motorcycle Supershow 2014(SUPERSHOW 2014) http://www.motorcyclesupershow.ca/"
6,"Toronto's Ultimate Travel Show http://www.totravelshow.com/"
6,"North American International Motorcycle Supershow(MOTORCYCLE SUPERSHOW) http://www.motorcyclesupershow.ca/"
6,"North American International Motorcycle Supershow(MOTORCYCLE SUPERSHOW) http://www.motorcyclesupershow.ca/"
7,"2012 Calgary Motorcycle Show http://www.calgarymotorcycleshow.ca"
7,"The Motorcycle Show - Calgary 2014 http://www.calgarymotorcycleshow.ca"
7,"The Motorcycle Show - Calgary 2015 http://www.calgarymotorcycleshow.ca"
7,"The Motorcycle Show - Calgary 2016 http://www.calgarymotorcycleshow.ca"
7,"Motorcycle Show Calgary http://www.calgarymotorcycleshow.ca"
8,"London Boat Show http://www.londonboatshow.com"
8,"London Boat Show http://www.londonboatshow.com"
8,"London Boat Show http://www.londonboatshow.com"
9,"Houston Boat Sport & Travel Show http://houstonboatshows.com/"
9,"Houston International Boat, Sport & Travel SUPER SHOW http://houstonboatshows.com/"
10,"11th Arab International Plastics & Rubber Industry Trade Show & Conference(Arabplast 2013) http://www.arabplast.info"
10,"arabplast 2015 - 12th Arab International Plastics & Rubber Industry Trade Show and Conference http://www.arabplast.info"
10,"arabplast 2017 http://www.arabplast.info/"
11,"NORTH AMERICAN INTERNATIONAL AUTO SHOW(NAIAS) http://www.naias.com/"
11,"NORTH AMERICAN INTERNATIONAL AUTO SHOW(NAIAS) http://www.naias.com/"
11,"NORTH AMERICAN INTERNATIONAL AUTO SHOW(NAIAS 2014) http://www.naias.com/"
11,"North American International Auto Show 2015 (NAIAS 2015) http://www.naias.com/"
