"
鑀鍀國際有限公司( Alouette )



", ,12 人,54340287,KeyError,台北市松山區復興北路331號5樓地圖,貿易代理商,500萬元
"
上興行



",暫不提供電話 ,暫不提供員工人數,KeyError,KeyError,高雄市路竹區中華路520號地圖,其它餐飲相關,KeyError
"
神能健康服務股份有限公司



", ,暫不提供員工人數,55791273,KeyError,台北市南港區重陽路263巷8號3樓地圖,其它餐飲相關,KeyError
"
超級寶貝嬰童用品百貨(鈞勝商行)



", ,本公司未公佈員工數,84031415,KeyError,台中市北屯區北屯路192之5號地圖,百貨相關,本公司未公佈資本額
"
呈育整合行銷有限公司



", ,暫不提供員工人數,53157775,KeyError,台中市南區美村路二段186號6樓102室地圖,量販流通相關,KeyError
"
偉鉅聯合事業有限公司



", ,暫不提供員工人數,13012113,KeyError,台中市北屯區青島路四段63號地圖,人力派遣／人力供應,KeyError
"
翰昌商行( 美廉社慈光店 )



", ,暫不提供員工人數,KeyError,KeyError,桃園市桃園區同德十一街58號3樓之1地圖,食品什貨零售,KeyError
"
恆勤水電有限公司



", ,暫不提供員工人數,KeyError,KeyError,苗栗縣頭份市蘆竹里中華路433號地圖,空調╱水機電工程,KeyError
"
巨立開發有限公司



",暫不提供電話 ,暫不提供員工人數,KeyError,KeyError,暫不提供地址,土木工程,KeyError
"
財團法人雲林縣大慈社會福利慈善基金會附設私立一心育幼院



", ,暫不提供員工人數,72371753,http://www.yixinhome.org.tw/tw/index.asp,雲林縣斗六市長平里忠潭路122號地圖,社會福利機構,KeyError
"
九十度光股份有限公司



", ,15 人,25131578,KeyError,台北市信義區市民大道六段250號二樓地圖,光電相關,2700萬元
"
泳御企業社( 華視經銷商 (泳御營業處) )



", ,6 人,41400846,KeyError,新北市五股區四維路116之2號地圖,文教／育樂用品零售、書籍出版,10萬元
"
福井日本料理



", ,暫不提供員工人數,KeyError,KeyError,台南市安南區安和路五段377號地圖,餐廳／餐館,KeyError
"
日一食堂



", ,暫不提供員工人數,KeyError,https://www.facebook.com/nichiichione,高雄市前金區光明街1號地圖,餐廳／餐館,KeyError
"
敏敬科技有限公司



", ,10 人,29077581,KeyError,台北市大安區和平東路三段207巷8號1樓地圖,織布,1000萬元
"
東揚企業社



", ,暫不提供員工人數,KeyError,KeyError,屏東縣屏東市博愛路458號地圖,其它營造,KeyError
"
鋐鑫工程有限公司



", ,暫不提供員工人數,KeyError,KeyError,新北市鶯歌區國中街104號地圖,建築工程,KeyError
"
義皓機械有限公司

回覆模範生

", ,暫不提供員工人數,KeyError,KeyError,桃園市觀音區金湖里中山路一段1171巷16弄29號地圖,專用生產機械製造修配,KeyError
"
成鈦實業社

回覆模範生

", ,暫不提供員工人數,KeyError,KeyError,台南市歸仁區南丁路73巷33號地圖,其它金屬相關製造,KeyError
"
三禾測量工程有限公司

回覆模範生

", ,12 人,KeyError,KeyError,新北市中和區中山路二段178巷17號14樓地圖,環境衛生／污染防治相關,500萬元
"
高雄YMCA( 財團法人高雄市基督教青年會 )

回覆模範生

", ,暫不提供員工人數,KeyError,http://kh.ymca.org.tw/,高雄市苓雅區英明路166號地圖,協會／基金會,KeyError
"
鉦凱機電有限公司

回覆模範生

", ,暫不提供員工人數,KeyError,http://cheng-kai.com.tw/,苗栗縣頭份市八德一路96號(頭份工業區)地圖,專用生產機械製造修配,KeyError
"
嘉仕美美容名店

回覆模範生

", ,50 人,KeyError,KeyError,台北市中山區長春路240號1樓地圖,美容╱美體相關,KeyError
"
充承精密股份有限公司

回覆模範生

", ,暫不提供員工人數,KeyError,KeyError,台南市永康區中正二街182巷48號地圖,鋼鐵工業,KeyError
"
國興保全股份有限公司 (中興保全集團)

回覆模範生

", ,3700 人,KeyError,http://www.kssecurity.com.tw/,台北市大同區鄭州路139號9樓地圖,保全樓管相關,3億5000萬元
"
一帆股份有限公司

回覆模範生

",暫不提供電話 ,30 人,KeyError,http://www.ifong.com.tw/,嘉義縣中埔鄉和睦村司公廍5之1號地圖,專用生產機械製造修配,KeyError
"
悅康國際有限公司

回覆模範生

",暫不提供電話 ,12 人,84820684,KeyError,新北市中和區建康路21號4樓地圖,國際貿易,KeyError
"
時代財金資訊股份有限公司

回覆模範生

", ,暫不提供員工人數,KeyError,http://www.moderntimes.com.tw,台北市大安區羅斯福路三段29號12樓地圖,電腦軟體相關,1億5000萬元
