svd,EXHIBITION_NAME,EXHIBITION_COUNTRY,EXHIBITION_LOCATION,EXHIBITS,EXHIBITION_INDUSTRY,FREQUENCY,CONTACT_EMAIL
0.626513077,2015 International CES(International CES),United States,Las Vegas Convention and World Trade Center (LVCC)/ Sands Expo & Convention Center (Sands) etc.,"Audio, Automotive Electronics, Computer Hardware and Software, Content Distribution, Digital Health and Fitness, Digital Imaging/Photography, Electronic Gaming, Entertainment/Content, Internet-Based Multimedia Services, Lifestyle Electronics, Telecommunications Infrastructure, Video.","Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Information,Telecommunication/Telecommunication,DataProcessing,Computer;Information,Telecommunication/Media,AudioVisual(Films,Photos),Graphics;Hobby,Education/Toys&Games",Annual,CESinfo@CE.org
0.447298965,"9th International Door & Door Hardware Fair - 9th International Wooden, Steel, Automatic, Industrial Door & Door Hardware Specialized Fair (Door Fair Turkey)",Turkey,Istanbul Expo Center,Door & Door Hardware.,"Building,Construction/Building&Construction,RealEstate",Annual,info@doorfair.com
0.410498842,MAHATech 2015,India,"Agricultural College Ground (New), Pune","Process Equipments, Electrical & Electronics, Instrumentation, Automation, Engineering/Machine Tools, Hydraulic & Pneumatic equipments, Industrial/Technical Services & Consultancy, Casting & Forging Industries.","Machinery,IndustrialTechnology/MachineTools,Metalworking;Machinery,IndustrialTechnology/MaterialHandling,Pneumatics;Machinery,IndustrialTechnology/Electric&Electronics(Products,Machinery);Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment;Transportation,Logistics,Packaging/Packaging(Materials,Machinery&Equipment);Services/Finance,Banking,Insurance",Annual,info@maha-tech.com
0.460652051,Canada's Bridal Show 2015,Canada,Metro Toronto Convention Centre,"Wedding, Bridal related.","Living/Wedding,Bridal,Funeral&Religious;Living/Textiles&Apparel(Materials,Products&Machinery);Living/Gifts,Handicrafts,Premiums&Incentives;Living/Jewelry,Gold/Silverware,Accessories",Twice a year,info@canadasbridalshow.com
0.58383487,Toronto's Ultimate Travel Show,Canada,DIRECT ENERGY CENTRE,"tourism boards, tour operators, hotels, travel-related adventures and activities, etc.","Hobby,Education/Tourism&Travel(Goods,Facilities&Services);Services/Hotel,Restaurant&CateringBusiness",Annual,wbroomes@metrolandwest.com
0.588239665,The Motorcycle Show - Calgary 2015,Canada,"BMO Centre, Stampede Park","Motorcycle, Race related.","Transportation,Logistics,Packaging/Bicycles,Motorcycles(incl.Parts);Hobby,Education/Sports(Goods,Facilities&Services)",Annual,lpaetz@powersportservices.ca
0.462522199,London Boat Show,United Kingdom,ExCeL London,"Boat, Yacht.","Transportation,Logistics,Packaging/Boats,SmallShips(incl.Equipment&Supplies)",Annual,support@yourticketbooking.com
0.617051864,arabplast 2015 - 12th Arab International Plastics & Rubber Industry Trade Show and Conference,United Arab Emirates,Dubai International convention & exhibition center,"MATERIALS, CHEMICALS & AUXILIARIES, PLASTIC PACKAGING MACHINERY & TECHNOLOGY, EQUIPMENT & SERVICES, POST PROCESSING MACHINE, MACHINERY AND PLANT FOR FINISHING, DECORATING, PRINTING AND MARKING, SEMI-FINISHED PRODUCTS, TECHNICAL PARTS AND REINFORCED PLASTICS.","FundamentalIndustries/Chemistry,Rubber,Plastics,Materials;Machinery,IndustrialTechnology/Metals,MetalProducts,Hardware,Tools;Machinery,IndustrialTechnology/Testing,Measuring&Analyzing,PrecisionMechanics;Machinery,IndustrialTechnology/OtherIndustrialMachinery&Equipment;Living/Paper&PaperProducts,Printing&Publishing",Biennial,SchreiberG@messe-duesseldorf.de
0.45770256,North American International Auto Show 2015 (NAIAS 2015),United States,Cobo Center,"New cars and trucks, specialty vehicles, manufacturer related displays.","Transportation,Logistics,Packaging/Automobiles(incl.Parts,Machinery);Transportation,Logistics,Packaging/Equipment&SupplyforAutomotiveServices",Annual,NULL
0.581239686,Imaging EXPO,United States,Gaylord Opryland Resort & Convention Center,Photograph.,"Information,Telecommunication/Media,AudioVisual(Films,Photos),Graphics;Building,Construction/Sanitation,Air-conditioning,Plumbing,Lighting;Information,Telecommunication/Optics,OpticalInstruments,Laser",Annual,info@imagingusa.org
0.631087398,Moda,United States,THE JAVITS CENTER,modern contemporary ready-to-wear collections.,"Living/Textiles&Apparel(Materials,Products&Machinery)",Three times or more a year,INQUIRIES@BUSJOUR.COM
0.677281992,Hong Kong International Stationery Fair 2015(HKISF15),Hong Kong,Hong Kong Convention & Exhibition Centre,"Artist supplies/ Children's stationery & school supplies/ Computer peripherals & related accessories/ Consumbale for office equipment/ Gift stationery/ Office equipment/ Paper & printing products/ Writing equipment, etc.","Information,Telecommunication/OfficeSupplies&Equipment,OfficeAutomation;Living/Paper&PaperProducts,Printing&Publishing;Living/Gifts,Handicrafts,Premiums&Incentives;Hobby,Education/Hobby,Do-It-Yourself,Collector'sItems;Hobby,Education/Education&Training",Annual,stationery@hongkong.messefrankfurt.com
0.522427828,13th Hong Kong International Licensing Show 2015,Hong Kong,Hong Kong Convention & Exhibition Centre,Animation and Character Art and Design Celebrity and Entertainment Collegiate Corporate Brand Fashion and Lifestyle Sports.,"Hobby,Education/Toys&Games;Living/Textiles&Apparel(Materials,Products&Machinery);Hobby,Education/Arts&Crafts,Antiques",Annual,licensingshow@hktdc.org
0.461103772,Horecava 2015,Netherlands,Amsterdam Rai,"Hotels, Catering Companies, Institutions, Hospitals, Company Restaurants and Cafeterias.","Services/Hotel,Restaurant&CateringBusiness;Services/ShopFitting&Equipment,Display",Annual,registreer@rai.nl.
